Id,Rank,Year,0,Age Category,AttendanceIn2015
1651,3179.0,4,1,51,0
8204,757.0,10,1,26,0
30233,158.0,1,1,35,1
19369,819.0,5,1,38,0
1203,2942.8,1,5,57,1
26463,178.0,2,1,30,0
12175,2398.0,8,1,52,0
20118,1577.0,4,1,47,0
12570,2564.0,2,2,54,0
11039,898.0,9,1,41,0
3473,746.0,13,1,46,0
12601,2005.33333333,6,3,50,0
4466,88.0,12,1,45,0
20738,3871.0,4,1,50,0
1792,1646.0,1,1,30,1
21136,3066.0,4,1,44,0
12391,1694.0,8,1,36,0
14083,1262.0,7,1,51,0
29315,1913.0,1,1,35,1
28855,2091.0,1,1,25,1
6401,82.0,11,1,53,0
17898,2333.0,5,1,27,0
11260,2416.0,8,1,22,0
3579,635.0,13,1,32,0
27912,2159.0,2,1,26,0
5292,771.0,12,1,21,0
27294,555.0,2,1,39,0
7844,2086.0,10,1,68,0
4069,245.0,13,1,32,0
26618,1771.0,2,1,42,0
28649,460.0,1,1,40,1
17647,3434.0,5,1,28,0
5295,1492.0,12,1,50,0
29472,1841.0,1,1,25,1
13258,436.0,7,1,32,0
17604,2319.0,5,1,38,0
18985,1341.0,5,1,42,0
27030,1535.0,2,1,48,0
6853,740.0,11,1,27,0
10095,1507.0,9,1,27,0
20103,3364.0,5,1,51,0
5194,676.0,9,2,42,0
29733,834.0,1,1,35,1
9015,191.0,10,1,49,0
19363,404.0,5,1,51,0
6121,734.0,11,1,31,0
2731,1840.0,1,1,40,1
8406,997.0,10,1,18,0
4712,913.5,11,2,40,0
27396,15.0,2,1,39,0
17140,2164.0,6,1,40,0
3906,384.0,13,1,30,0
20332,204.0,4,1,25,0
7306,2367.0,10,1,22,0
4036,390.0,13,1,30,0
17374,76.0,6,1,38,0
11018,1541.0,9,1,52,0
5418,644.333333333,6,3,38,0
3312,175.0,13,1,33,0
22522,3909.0,4,1,16,0
30361,804.0,1,1,35,1
10218,1660.0,6,3,39,0
18458,2602.0,5,1,37,0
16122,2630.0,6,1,50,0
30363,344.0,1,1,35,1
6476,411.0,11,1,48,0
20648,2013.0,4,1,46,0
12641,902.0,8,1,38,0
2458,2825.5,1,2,68,1
19036,1971.0,5,1,32,0
27812,3378.0,2,1,17,0
8403,1742.0,10,1,57,0
7919,1400.0,10,1,23,0
22556,138.0,4,1,30,0
27714,2639.0,2,1,47,0
27689,72.0,2,1,46,0
14054,2252.0,7,1,48,0
29633,985.0,1,1,25,1
19585,1178.0,5,1,34,0
26487,373.0,2,1,28,0
17856,2540.0,4,2,48,0
10341,2204.0,9,1,34,0
12634,295.0,1,4,50,1
15128,189.0,7,1,31,0
16226,2263.0,6,1,34,0
12298,1276.0,8,1,35,0
3926,1364.0,13,1,24,0
15647,2794.0,6,1,45,0
27091,3231.0,2,1,36,0
21637,3122.0,4,1,39,0
27192,1558.0,2,1,34,0
20257,3228.0,4,1,44,0
9351,1350.0,9,1,44,0
74,2077.5,1,2,45,1
5348,263.0,12,1,54,0
26750,2546.0,2,1,41,0
27990,238.0,2,1,28,0
7951,1047.0,10,1,26,0
19258,2748.0,5,1,24,0
3909,1143.25,4,4,44,0
17523,647.0,5,1,47,0
17707,1156.0,5,1,55,0
22324,3237.0,4,1,37,0
9300,1380.0,9,1,32,0
22867,3813.0,4,1,29,0
20176,3223.0,4,1,29,0
5070,1640.0,1,3,45,1
17392,1189.0,6,1,27,0
11575,597.0,8,1,33,0
27463,3479.0,2,1,33,0
10707,1804.0,9,1,31,0
28688,1863.0,1,1,20,1
20577,2105.0,4,1,40,0
5290,1778.0,12,1,40,0
4192,379.0,13,1,33,0
10787,1471.0,9,1,25,0
3268,1218.0,13,1,41,0
14502,1940.0,7,1,22,0
5711,2193.66666667,7,3,76,0
5252,748.333333333,10,3,62,0
3116,851.0,13,1,35,0
9982,975.0,8,2,49,0
10651,1716.0,9,1,29,0
3144,1035.0,13,1,33,0
4634,727.0,12,1,65,0
21378,325.0,4,1,24,0
14752,282.0,7,1,39,0
21787,2773.0,4,1,47,0
7815,1523.0,10,1,26,0
8881,1654.0,10,1,42,0
721,79.0,1,1,25,1
8388,733.0,10,1,42,0
12099,1377.0,8,1,51,0
10886,1535.0,9,1,24,0
16051,2829.0,6,1,58,0
20327,3176.0,4,1,32,0
8578,1787.0,10,1,43,0
4531,1031.0,10,3,49,0
8041,9.0,10,1,29,0
16955,927.5,2,2,40,0
7187,480.0,11,1,27,0
